marr,wage,exper,age,coll,games,minutes,guard,forward,center,points,rebounds,assists,draft,allstar,avgmin,lwage,black,children,expersq,agesq,marrblck
1.00,1.12,5.00,29.00,4.00,59.00,2057.00,1.00,0.00,0.00,19.00,3.10,5.90,0.00,0.00,34.86,2.42,1.00,1.00,25.00,841,1
1.00,1.60,13.00,36.00,4.00,70.00,774.00,0.00,0.00,1.00,3.30,2.60,0.40,14.00,0.00,11.06,2.77,1.00,1.00,169.00,1296,1
0.00,1.44,2.00,24.00,4.00,65.00,1515.00,1.00,0.00,0.00,10.30,3.60,2.10,17.00,0.00,23.31,2.67,0.00,1.00,4.00,576,0
0.00,2.67,5.00,26.00,3.00,81.00,2811.00,1.00,0.00,0.00,15.80,5.90,3.60,11.00,0.00,34.70,3.28,1.00,0.00,25.00,676,0
0.00,0.65,2.00,24.00,4.00,74.00,1371.00,0.00,1.00,0.00,5.30,4.60,0.90,15.00,0.00,18.53,1.87,1.00,1.00,4.00,576,0
1.00,0.90,5.00,30.00,4.00,70.00,948.00,1.00,0.00,0.00,4.60,1.70,1.50,66.00,0.00,13.54,2.20,1.00,0.00,25.00,900,1
0.00,1.96,7.00,29.00,4.00,70.00,2570.00,0.00,1.00,0.00,15.10,11.00,3.40,10.00,1.00,36.71,2.98,1.00,1.00,49.00,841,0
0.00,1.24,1.00,23.00,3.00,82.00,3015.00,1.00,0.00,0.00,16.00,5.40,6.60,2.00,1.00,36.77,2.52,1.00,1.00,1.00,529,0
1.00,0.99,11.00,33.00,4.00,29.00,309.00,0.00,0.00,1.00,1.20,2.40,0.10,21.00,0.00,10.66,2.29,0.00,0.00,121.00,1089,0
0.00,3.90,2.00,22.00,3.00,81.00,3224.00,0.00,0.00,1.00,29.30,13.20,2.10,1.00,1.00,39.80,3.66,1.00,1.00,4.00,484,0
1.00,0.15,17.00,39.00,4.00,45.00,384.00,0.00,0.00,1.00,1.70,2.10,0.20,14.00,0.00,8.53,0.41,1.00,0.00,289.00,1521,1
1.00,0.89,4.00,28.00,4.00,74.00,1357.00,0.00,1.00,0.00,7.40,3.40,0.80,52.00,0.00,18.34,2.19,1.00,1.00,16.00,784,1
0.00,2.82,4.00,26.00,3.00,82.00,2283.00,0.00,1.00,0.00,12.80,2.70,2.60,4.00,0.00,27.84,3.34,1.00,1.00,16.00,676,0
0.00,1.51,5.00,28.00,4.00,77.00,2037.00,1.00,0.00,0.00,9.00,4.60,5.00,24.00,0.00,26.45,2.72,1.00,0.00,25.00,784,0
1.00,0.90,8.00,32.00,4.00,68.00,1536.00,0.00,1.00,0.00,6.60,4.00,0.90,17.00,0.00,22.59,2.20,1.00,0.00,64.00,1024,1
1.00,0.75,5.00,27.00,4.00,81.00,2519.00,1.00,0.00,0.00,,,5.20,16.00,0.00,31.10,2.01,0.00,0.00,25.00,729,0
1.00,2.70,1.00,22.00,1.00,49.00,1385.00,0.00,0.00,1.00,10.20,6.20,2.00,2.00,0.00,28.27,3.30,1.00,0.00,1.00,484,1
1.00,0.18,2.00,27.00,0.00,65.00,980.00,1.00,0.00,0.00,5.70,1.70,0.40,0.00,0.00,15.08,0.60,1.00,1.00,4.00,729,1
0.00,0.70,1.00,24.00,4.00,70.00,889.00,1.00,0.00,0.00,,1.20,0.90,15.00,0.00,12.70,1.95,1.00,1.00,1.00,576,0
1.00,2.38,11.00,33.00,4.00,77.00,1750.00,1.00,0.00,0.00,16.80,3.10,2.20,10.00,0.00,22.73,3.17,1.00,0.00,121.00,1089,1
0.00,1.65,6.00,30.00,4.00,80.00,2336.00,0.00,1.00,0.00,9.00,5.00,1.20,7.00,0.00,29.20,2.80,1.00,0.00,36.00,900,0
1.00,1.04,2.00,24.00,4.00,82.00,3147.00,0.00,1.00,0.00,18.30,10.10,2.30,9.00,0.00,38.38,2.34,1.00,1.00,4.00,576,1
0.00,0.61,5.00,26.00,4.00,38.00,638.00,0.00,1.00,0.00,7.60,4.80,1.00,0.00,0.00,16.79,1.81,1.00,0.00,25.00,676,0
1.00,1.69,13.00,35.00,4.00,68.00,1555.00,1.00,0.00,0.00,8.90,1.90,2.80,31.00,0.00,22.87,2.83,0.00,1.00,169.00,1225,0
1.00,3.25,10.00,31.00,3.00,65.00,2298.00,0.00,1.00,0.00,21.60,11.20,4.50,5.00,1.00,35.35,3.48,1.00,1.00,100.00,961,1
1.00,,6.00,30.00,4.00,,,1.00,0.00,0.00,,,,40.00,0.00,,,1.00,1.00,36.00,900,1
0.00,1.88,9.00,,4.00,82.00,2825.00,0.00,1.00,0.00,,9.20,1.70,23.00,0.00,34.45,2.94,1.00,0.00,81.00,,0
0.00,2.30,7.00,28.00,4.00,67.00,2449.00,1.00,0.00,0.00,20.00,2.50,9.50,7.00,1.00,36.55,3.14,1.00,0.00,49.00,784,0
1.00,0.65,9.00,32.00,4.00,74.00,848.00,0.00,0.00,1.00,3.90,2.60,0.60,6.00,0.00,11.46,1.87,0.00,1.00,81.00,1024,0
0.00,2.97,6.00,29.00,4.00,80.00,3207.00,1.00,0.00,0.00,16.50,4.40,3.40,14.00,0.00,40.09,3.39,0.00,0.00,36.00,841,0
1.00,3.25,6.00,28.00,4.00,68.00,2520.00,0.00,1.00,0.00,20.60,6.80,3.80,1.00,1.00,37.06,3.48,1.00,0.00,36.00,784,1
1.00,,13.00,35.00,4.00,36.00,363.00,0.00,0.00,1.00,2.40,2.20,0.40,13.00,0.00,10.08,,0.00,1.00,169.00,1225,0
1.00,2.33,9.00,30.00,4.00,79.00,2557.00,0.00,1.00,0.00,16.70,7.10,1.70,2.00,0.00,32.37,3.15,1.00,0.00,81.00,900,1
1.00,1.30,6.00,29.00,4.00,79.00,1441.00,0.00,1.00,0.00,5.60,4.00,0.50,21.00,0.00,18.24,2.56,1.00,0.00,36.00,841,1
1.00,1.58,11.00,32.00,3.00,68.00,2334.00,1.00,0.00,0.00,19.20,6.50,4.90,14.00,1.00,34.32,2.76,0.00,1.00,121.00,1024,0
0.00,0.79,7.00,29.00,4.00,6.00,86.00,0.00,0.00,1.00,2.30,4.00,0.80,75.00,0.00,14.33,2.07,1.00,0.00,49.00,841,0
0.00,,17.00,39.00,4.00,45.00,938.00,0.00,0.00,1.00,4.70,1.40,0.50,46.00,0.00,20.84,,1.00,0.00,289.00,1521,0
1.00,2.43,6.00,29.00,4.00,77.00,2112.00,0.00,1.00,0.00,10.40,4.60,1.40,12.00,0.00,27.43,3.19,1.00,1.00,36.00,841,1
0.00,,4.00,27.00,4.00,29.00,187.00,1.00,0.00,0.00,2.80,0.60,0.90,0.00,0.00,6.45,,1.00,0.00,16.00,729,0
0.00,2.94,10.00,32.00,4.00,78.00,1276.00,0.00,1.00,0.00,6.50,4.20,1.00,46.00,0.00,16.36,3.38,1.00,0.00,100.00,1024,0
0.00,0.94,2.00,23.00,3.00,65.00,820.00,0.00,1.00,0.00,6.70,1.70,0.50,18.00,0.00,12.62,2.24,1.00,0.00,4.00,529,0
1.00,2.50,9.00,31.00,4.00,77.00,2074.00,1.00,0.00,0.00,13.10,2.80,5.20,24.00,0.00,26.94,3.22,1.00,1.00,81.00,961,1
0.00,2.34,5.00,28.00,4.00,82.00,2853.00,0.00,1.00,0.00,20.10,6.70,1.90,36.00,1.00,34.79,3.15,1.00,0.00,25.00,784,0
0.00,0.65,1.00,24.00,3.00,58.00,673.00,1.00,0.00,0.00,4.80,1.30,1.20,21.00,0.00,11.60,1.87,1.00,0.00,1.00,576,0
0.00,1.56,6.00,28.00,3.00,82.00,2889.00,1.00,0.00,0.00,17.20,4.50,9.20,19.00,0.00,35.23,2.75,1.00,0.00,36.00,784,0
1.00,2.50,13.00,34.00,3.00,81.00,2636.00,0.00,1.00,0.00,9.70,10.40,1.00,10.00,0.00,32.54,3.22,1.00,0.00,169.00,1156,1
0.00,,4.00,26.00,4.00,13.00,159.00,0.00,1.00,0.00,4.90,3.50,2.50,25.00,0.00,12.23,,0.00,0.00,16.00,676,0
1.00,1.85,10.00,35.00,4.00,71.00,2094.00,0.00,1.00,0.00,13.20,5.70,3.10,57.00,0.00,29.49,2.92,0.00,0.00,100.00,1225,0
1.00,0.55,3.00,26.00,4.00,61.00,1041.00,1.00,0.00,0.00,4.50,1.80,2.20,31.00,0.00,17.07,1.70,1.00,1.00,9.00,676,1
1.00,1.26,4.00,26.00,4.00,41.00,674.00,0.00,0.00,1.00,4.40,4.50,0.30,18.00,0.00,16.44,2.53,1.00,1.00,16.00,676,1
0.00,1.62,1.00,23.00,4.00,19.00,499.00,1.00,0.00,0.00,7.10,1.80,6.10,7.00,0.00,26.26,2.78,0.00,0.00,1.00,529,0
0.00,0.15,1.00,24.00,4.00,55.00,667.00,0.00,0.00,1.00,3.20,3.10,0.40,52.00,0.00,12.13,0.41,0.00,1.00,1.00,576,0
0.00,0.85,7.00,29.00,3.00,68.00,2402.00,0.00,1.00,0.00,11.60,11.90,0.60,8.00,0.00,35.32,2.14,1.00,1.00,49.00,841,0
1.00,2.50,6.00,29.00,4.00,78.00,2897.00,1.00,0.00,0.00,23.40,3.70,4.00,5.00,1.00,37.14,3.22,1.00,0.00,36.00,841,1
0.00,1.74,4.00,25.00,4.00,75.00,2702.00,0.00,1.00,0.00,15.10,7.50,4.10,7.00,0.00,36.03,2.86,1.00,0.00,16.00,625,0
0.00,0.94,3.00,25.00,4.00,66.00,877.00,1.00,0.00,0.00,4.40,1.30,1.80,19.00,0.00,13.29,2.24,1.00,1.00,9.00,625,0
0.00,1.46,9.00,31.00,4.00,79.00,2567.00,1.00,0.00,0.00,12.70,2.80,6.70,87.00,0.00,32.49,2.68,1.00,0.00,81.00,961,0
0.00,1.66,2.00,24.00,4.00,57.00,1356.00,0.00,1.00,0.00,11.20,4.10,2.30,7.00,0.00,23.79,2.81,1.00,0.00,4.00,576,0
0.00,0.20,2.00,26.00,4.00,57.00,1221.00,0.00,1.00,0.00,8.00,4.70,1.20,36.00,0.00,21.42,0.69,0.00,0.00,4.00,676,0
0.00,2.08,6.00,27.00,4.00,80.00,2488.00,1.00,0.00,0.00,11.90,3.00,4.30,10.00,0.00,31.10,3.03,1.00,1.00,36.00,729,0
0.00,2.41,12.00,33.00,3.00,59.00,1133.00,0.00,1.00,0.00,7.30,5.00,0.80,2.00,0.00,19.20,3.18,1.00,1.00,144.00,1089,0
1.00,1.19,4.00,28.00,4.00,77.00,1949.00,1.00,0.00,0.00,10.00,2.10,4.20,29.00,0.00,25.31,2.48,0.00,0.00,16.00,784,0
1.00,1.81,5.00,24.00,4.00,73.00,2409.00,0.00,1.00,0.00,12.10,3.60,2.70,3.00,0.00,33.00,2.89,1.00,0.00,25.00,576,1
1.00,0.15,5.00,30.00,4.00,28.00,94.00,0.00,0.00,1.00,2.10,0.90,0.20,79.00,0.00,3.36,0.41,0.00,1.00,25.00,900,0
1.00,,6.00,29.00,4.00,82.00,2332.00,1.00,0.00,0.00,10.90,2.10,5.30,0.00,0.00,28.44,,1.00,1.00,36.00,841,1
0.00,,12.00,39.00,0.00,55.00,618.00,0.00,0.00,1.00,5.30,4.10,0.60,0.00,0.00,11.24,,1.00,1.00,144.00,1521,0
1.00,2.16,8.00,30.00,4.00,77.00,2029.00,0.00,1.00,0.00,11.60,3.30,2.40,4.00,0.00,26.35,3.07,1.00,1.00,64.00,900,1
1.00,1.82,5.00,26.00,3.00,70.00,1344.00,0.00,1.00,0.00,9.00,3.10,1.00,5.00,0.00,19.20,2.90,1.00,1.00,25.00,676,1
1.00,5.74,5.00,29.00,4.00,80.00,3241.00,0.00,0.00,1.00,29.80,10.70,4.80,1.00,1.00,40.51,4.05,1.00,1.00,25.00,841,1
0.00,2.45,8.00,33.00,4.00,79.00,2989.00,0.00,1.00,0.00,4.70,17.30,2.30,27.00,0.00,37.84,3.20,1.00,1.00,64.00,1089,0
0.00,0.15,1.00,23.00,4.00,40.00,339.00,1.00,0.00,0.00,1.80,0.70,1.30,47.00,0.00,8.48,0.41,1.00,0.00,1.00,529,0
0.00,0.52,6.00,29.00,3.00,80.00,1690.00,1.00,0.00,0.00,9.10,2.40,2.40,39.00,0.00,21.13,1.66,1.00,0.00,36.00,841,0
1.00,,16.00,37.00,4.00,42.00,780.00,0.00,0.00,1.00,5.60,3.60,1.40,3.00,0.00,18.57,,1.00,1.00,256.00,1369,1
0.00,2.00,5.00,26.00,4.00,79.00,2435.00,1.00,0.00,0.00,14.10,3.40,3.50,5.00,0.00,30.82,3.00,1.00,0.00,25.00,676,0
0.00,0.60,3.00,25.00,4.00,71.00,866.00,0.00,1.00,0.00,2.80,2.70,0.40,27.00,0.00,12.20,1.79,1.00,0.00,9.00,625,0
0.00,0.62,2.00,27.00,4.00,45.00,280.00,0.00,0.00,1.00,2.60,2.60,0.20,23.00,0.00,6.22,1.82,1.00,0.00,4.00,729,0
0.00,0.80,6.00,25.00,2.00,79.00,2597.00,0.00,1.00,0.00,18.10,10.80,2.60,17.00,1.00,32.87,2.08,1.00,0.00,36.00,625,0
1.00,0.15,2.00,25.00,4.00,15.00,86.00,0.00,1.00,0.00,3.70,1.00,0.60,45.00,0.00,5.73,0.41,1.00,0.00,4.00,625,1
0.00,0.70,4.00,25.00,4.00,27.00,78.00,0.00,0.00,1.00,1.50,0.80,0.30,14.00,0.00,2.89,1.95,0.00,0.00,16.00,625,0
0.00,1.90,6.00,30.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,127.00,0.00,,2.94,0.00,1.00,36.00,900,0
1.00,0.89,9.00,30.00,4.00,73.00,1887.00,1.00,0.00,0.00,6.00,3.90,5.30,30.00,0.00,25.85,2.19,1.00,1.00,81.00,900,1
0.00,2.38,5.00,26.00,4.00,81.00,2881.00,1.00,0.00,0.00,16.50,3.30,6.00,2.00,1.00,35.57,3.17,1.00,1.00,25.00,676,0
0.00,3.59,11.00,33.00,4.00,81.00,2170.00,0.00,1.00,0.00,12.30,4.50,1.40,4.00,0.00,26.79,3.58,1.00,0.00,121.00,1089,0
0.00,0.17,5.00,27.00,4.00,35.00,152.00,0.00,0.00,1.00,2.10,0.70,0.20,39.00,0.00,4.34,0.53,0.00,0.00,25.00,729,0
1.00,1.15,10.00,31.00,4.00,81.00,2728.00,0.00,1.00,0.00,15.00,5.60,3.40,8.00,0.00,33.68,2.44,0.00,1.00,100.00,961,0
1.00,0.81,3.00,26.00,4.00,55.00,1070.00,0.00,1.00,0.00,6.50,4.70,0.40,0.00,0.00,19.45,2.09,1.00,1.00,9.00,676,1
1.00,0.15,2.00,25.00,4.00,56.00,559.00,1.00,0.00,0.00,3.10,1.10,0.50,0.00,0.00,9.98,0.41,1.00,0.00,4.00,625,1
1.00,,13.00,35.00,4.00,80.00,1838.00,0.00,1.00,0.00,11.10,4.10,0.90,8.00,0.00,22.98,,0.00,1.00,169.00,1225,0
0.00,0.20,2.00,25.00,4.00,45.00,313.00,1.00,0.00,0.00,2.90,0.60,1.70,0.00,0.00,6.96,0.69,0.00,0.00,4.00,625,0
1.00,1.77,8.00,31.00,4.00,80.00,2820.00,1.00,0.00,0.00,15.90,5.20,3.90,46.00,0.00,35.25,2.87,0.00,1.00,64.00,961,0
1.00,1.80,10.00,32.00,4.00,75.00,1619.00,1.00,0.00,0.00,7.50,1.70,2.90,13.00,0.00,21.59,2.89,1.00,1.00,100.00,1024,1
0.00,1.20,2.00,24.00,4.00,63.00,763.00,0.00,1.00,0.00,4.30,3.20,0.50,10.00,0.00,12.11,2.48,0.00,0.00,4.00,576,0
1.00,3.08,9.00,31.00,3.00,82.00,3329.00,0.00,1.00,0.00,25.20,11.50,4.00,13.00,1.00,40.60,3.43,1.00,1.00,81.00,961,1
1.00,0.15,1.00,24.00,4.00,67.00,1121.00,0.00,1.00,0.00,5.00,2.70,0.80,45.00,0.00,16.73,0.41,1.00,0.00,1.00,576,1
0.00,1.58,4.00,26.00,4.00,79.00,2210.00,0.00,0.00,1.00,8.60,8.30,0.50,6.00,0.00,27.97,2.76,1.00,0.00,16.00,676,0
1.00,2.40,10.00,32.00,4.00,82.00,2969.00,1.00,0.00,0.00,15.10,3.00,12.60,16.00,1.00,36.21,3.18,0.00,1.00,100.00,1024,0
0.00,0.65,1.00,23.00,3.00,15.00,92.00,0.00,0.00,1.00,1.30,0.70,0.00,18.00,0.00,6.13,1.87,1.00,0.00,1.00,529,0
0.00,0.15,1.00,24.00,4.00,75.00,1321.00,1.00,0.00,0.00,6.90,3.00,1.00,0.00,0.00,17.61,0.41,1.00,0.00,1.00,576,0
1.00,2.00,6.00,27.00,4.00,60.00,2025.00,1.00,0.00,0.00,18.20,2.40,3.10,8.00,0.00,33.75,3.00,0.00,1.00,36.00,729,0
0.00,2.00,1.00,23.00,4.00,65.00,1604.00,1.00,0.00,0.00,12.00,2.90,1.90,6.00,0.00,24.68,3.00,1.00,0.00,1.00,529,0
0.00,2.31,8.00,30.00,4.00,69.00,1485.00,0.00,0.00,1.00,6.60,4.70,0.80,33.00,0.00,21.52,3.14,1.00,0.00,64.00,900,0
1.00,1.65,2.00,25.00,4.00,78.00,2795.00,0.00,1.00,0.00,17.10,9.30,3.50,6.00,0.00,35.83,2.80,0.00,0.00,4.00,625,0
0.00,0.60,2.00,24.00,4.00,75.00,2487.00,0.00,1.00,0.00,18.20,6.00,2.10,19.00,0.00,33.16,1.79,0.00,0.00,4.00,576,0
0.00,0.50,1.00,23.00,0.00,54.00,650.00,0.00,0.00,1.00,5.60,3.60,0.30,30.00,0.00,12.04,1.61,0.00,0.00,1.00,529,0
1.00,0.50,2.00,25.00,4.00,61.00,749.00,1.00,0.00,0.00,3.60,1.10,1.50,40.00,0.00,12.28,1.61,1.00,0.00,4.00,625,1
1.00,0.28,2.00,26.00,4.00,65.00,1035.00,1.00,0.00,0.00,6.20,1.40,3.30,32.00,0.00,15.92,1.04,0.00,0.00,4.00,676,0
0.00,1.72,8.00,30.00,4.00,82.00,2303.00,1.00,0.00,0.00,9.90,2.30,6.10,22.00,0.00,28.09,2.85,0.00,0.00,64.00,900,0
1.00,0.60,3.00,26.00,4.00,3.00,35.00,0.00,1.00,0.00,4.30,2.30,0.70,0.00,0.00,11.67,1.79,1.00,1.00,9.00,676,1
1.00,0.40,6.00,30.00,4.00,73.00,1397.00,0.00,1.00,0.00,4.80,4.00,0.50,5.00,0.00,19.14,1.39,1.00,0.00,36.00,900,1
0.00,1.40,3.00,26.00,4.00,82.00,2605.00,1.00,0.00,0.00,14.80,4.80,2.30,9.00,0.00,31.77,2.64,1.00,1.00,9.00,676,0
1.00,1.63,5.00,27.00,4.00,81.00,2915.00,1.00,0.00,0.00,13.80,5.20,9.70,12.00,0.00,35.99,2.79,1.00,1.00,25.00,729,1
1.00,1.40,9.00,31.00,4.00,82.00,2149.00,0.00,1.00,0.00,8.00,4.70,1.50,35.00,0.00,26.21,2.64,1.00,1.00,81.00,961,1
0.00,0.65,1.00,23.00,4.00,16.00,107.00,0.00,1.00,0.00,2.70,1.10,0.50,15.00,0.00,6.69,1.87,1.00,1.00,1.00,529,0
1.00,1.20,11.00,33.00,4.00,82.00,2147.00,1.00,0.00,0.00,10.00,3.40,3.30,48.00,0.00,26.18,2.48,0.00,1.00,121.00,1089,0
1.00,2.80,9.00,31.00,4.00,82.00,1823.00,0.00,0.00,1.00,4.20,4.50,1.20,,0.00,22.23,3.33,0.00,1.00,81.00,961,0
0.00,1.23,6.00,28.00,4.00,82.00,1608.00,0.00,0.00,1.00,6.10,3.80,0.70,28.00,0.00,19.61,2.51,1.00,1.00,36.00,784,0
1.00,,5.00,31.00,4.00,18.00,169.00,1.00,0.00,0.00,2.50,0.70,2.20,70.00,0.00,9.39,,0.00,1.00,25.00,961,0
0.00,1.51,7.00,30.00,3.00,82.00,2539.00,0.00,1.00,0.00,11.90,6.10,2.70,19.00,0.00,30.96,2.71,1.00,0.00,49.00,900,0
0.00,2.63,10.00,31.00,4.00,80.00,2867.00,0.00,1.00,0.00,19.10,12.00,1.90,11.00,0.00,35.84,3.27,1.00,0.00,100.00,961,0
1.00,0.56,1.00,26.00,4.00,81.00,1732.00,0.00,1.00,0.00,7.70,6.20,0.60,45.00,0.00,21.38,1.73,1.00,0.00,1.00,676,1
0.00,0.69,3.00,25.00,4.00,66.00,2292.00,0.00,1.00,0.00,11.70,10.90,0.70,13.00,0.00,34.73,1.93,1.00,0.00,9.00,625,0
1.00,1.56,10.00,,4.00,55.00,1053.00,1.00,0.00,0.00,6.50,2.20,3.30,18.00,0.00,19.15,2.75,1.00,1.00,100.00,,1
1.00,0.83,1.00,24.00,4.00,27.00,186.00,0.00,1.00,0.00,2.00,2.00,0.30,14.00,0.00,6.89,2.12,0.00,0.00,1.00,576,0
1.00,2.00,7.00,28.00,4.00,79.00,2711.00,1.00,0.00,0.00,10.90,4.40,8.60,18.00,0.00,34.32,3.00,1.00,1.00,49.00,784,1
0.00,1.26,7.00,28.00,3.00,76.00,2613.00,0.00,1.00,0.00,12.00,5.30,4.30,9.00,0.00,34.38,2.54,1.00,0.00,49.00,784,0
1.00,3.21,7.00,29.00,4.00,79.00,2638.00,1.00,0.00,0.00,19.90,2.70,3.10,11.00,1.00,33.39,3.47,1.00,0.00,49.00,841,1
1.00,0.72,5.00,31.00,4.00,75.00,1084.00,0.00,1.00,0.00,4.80,2.50,0.80,54.00,0.00,14.45,1.97,1.00,1.00,25.00,961,1
1.00,0.60,11.00,33.00,3.00,67.00,1197.00,1.00,0.00,0.00,10.40,1.60,2.00,4.00,0.00,17.87,1.79,1.00,1.00,121.00,1089,1
0.00,2.50,6.00,28.00,4.00,78.00,2113.00,0.00,0.00,1.00,15.70,6.20,1.80,2.00,0.00,27.09,3.22,0.00,0.00,36.00,784,0
0.00,2.00,12.00,33.00,3.00,30.00,282.00,0.00,1.00,0.00,2.30,2.50,0.50,5.00,0.00,9.40,3.00,1.00,0.00,144.00,1089,0
0.00,0.32,3.00,,3.00,65.00,1714.00,1.00,0.00,0.00,7.70,3.10,6.50,49.00,0.00,26.37,1.16,1.00,0.00,9.00,,0
